Name,Journal Impact Factor,eISSN,ISSN
15TH WCEAM PROCEEDINGS,n/a,n/a,n/a
16TH IEEE INTERNATIONAL CONFERENCE ON SEMANTIC COMPUTING (ICSC 2022),n/a,n/a,n/a
16TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING MODELS IN INDUSTRIAL AND ENVIRONMENTAL APPLICATIONS (SOCO 2021),n/a,n/a,n/a
16TH INTERNATIONAL CONFERENCE: MECHATRONIC SYSTEMS AND MATERIALS (MSM 2021),n/a,n/a,n/a
17TH 3D GEOINFO CONFERENCE,n/a,n/a,n/a
17TH 3D GEOINFO CONFERENCE,n/a,n/a,n/a
17TH INTERNATIONAL CONFERENCE ON CONCENTRATOR PHOTOVOLTAIC SYSTEMS (CPV-17),n/a,n/a,n/a
17TH INTERNATIONAL SCIENTIFIC CONFERENCE - CIVIL ENGINEERING AND BUILDING SERVICES,n/a,n/a,n/a
"17TH INTERNATIONAL WORKING CONFERENCE ON VARIABILITY MODELLING OF SOFTWARE-INTENSIVE SYSTEMS, VAMOS 2023",n/a,n/a,n/a
18TH ANNUAL INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING IN SENSOR SYSTEMS (DCOSS 2022),n/a,n/a,n/a
18TH IEEE INTERNATIONAL WORKSHOP ON FACTORY COMMUNICATION SYSTEMS 2022 (WFCS 2022),n/a,n/a,n/a
18TH INTERNATIONAL SYMPOSIUM ON MEDICAL INFORMATION PROCESSING AND ANALYSIS,n/a,n/a,n/a
"19TH ACM SIGGRAPH EUROPEAN CONFERENCE ON VISUAL MEDIA PRODUCTION, CVMP 2022",n/a,n/a,n/a
19TH INTERNATIONAL CONFERENCE ON ION SOURCES - ICIS2021,n/a,n/a,n/a
19TH INTERNATIONAL SYMPOSIUM ON DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE,n/a,n/a,n/a
19TH INTERNATIONAL WEB FOR ALL CONFERENCE,n/a,n/a,n/a
"1ST DESIS USER WORKSHOP - IMAGING SPECTROMETER SPACE MISSION, CALIBRATION AND VALIDATION, APPLICATIONS, METHODS",n/a,n/a,n/a
20 ET 21-REVUE D HISTOIRE,0.0,2649-6100,2649-664X
2019 19TH EUROPEAN CONFERENCE ON RADIATION AND ITS EFFECTS ON COMPONENTS AND SYSTEMS (RADECS),n/a,n/a,n/a
2020 20TH EUROPEAN CONFERENCE ON RADIATION AND ITS EFFECTS ON COMPONENTS AND SYSTEMS (RADECS 2020),n/a,n/a,n/a
2021 13TH INTERNATIONAL WORKSHOP ON THE ELECTROMAGNETIC COMPATIBILITY OF INTEGRATED CIRCUITS (EMC COMPO 2021),n/a,n/a,n/a
2021 19TH ACM-IEEE INTERNATIONAL CONFERENCE ON FORMAL METHODS AND MODELS FOR SYSTEM DESIGN (MEMOCODE),n/a,n/a,n/a
2021 IEEE 62ND ANNUAL SYMPOSIUM ON FOUNDATIONS OF COMPUTER SCIENCE (FOCS 2021),n/a,n/a,n/a
2021 IEEE INTERNATIONAL WOMEN IN ENGINEERING (WIE) CONFERENCE ON ELECTRICAL AND COMPUTER ENGINEERING (WIECON-ECE),n/a,n/a,n/a
"2021 INTERNATIONAL CONFERENCE ON SECURITY AND INFORMATION TECHNOLOGIES WITH AI, INTERNET COMPUTING AND BIG-DATA APPLICATIONS",n/a,n/a,n/a
2021 PHYSICS EDUCATION RESEARCH CONFERENCE (PERC),n/a,n/a,n/a
2021 RAPID PRODUCT DEVELOPMENT ASSOCIATION OF SOUTH AFRICA - ROBOTICS AND MECHATRONICS - PATTERN RECOGNITION ASSOCATION OF SOUTH AFRICA (RAPDASA-ROBMECH-PRASA),n/a,n/a,n/a
2022 10TH EUROPEAN WORKSHOP ON VISUAL INFORMATION PROCESSING (EUVIP),n/a,n/a,n/a
"2022 10TH INTERNATIONAL CONFERENCE IN SOFTWARE ENGINEERING RESEARCH AND INNOVATION, CONISOFT",n/a,n/a,n/a
2022 10TH INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION (ACII),n/a,n/a,n/a
"2022 10TH INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION WORKSHOPS AND DEMOS, ACIIW",n/a,n/a,n/a
"2022 10TH INTERNATIONAL CONFERENCE ON CONTROL, MECHATRONICS AND AUTOMATION (ICCMA 2022)",n/a,n/a,n/a
2022 10TH INTERNATIONAL CONFERENCE ON INFORMATION AND EDUCATION TECHNOLOGY (ICIET 2022),n/a,n/a,n/a
2022 10TH INTERNATIONAL CONFERENCE ON SYSTEMS AND CONTROL (ICSC),n/a,n/a,n/a
2022 10TH INTERNATIONAL CONFERENCE ON TRAFFIC AND LOGISTIC ENGINEERING (ICTLE 2022),n/a,n/a,n/a
2022 10TH INTERNATIONAL SYMPOSIUM ON DIGITAL FORENSICS AND SECURITY (ISDFS),n/a,n/a,n/a
2022 10TH INTERNATIONAL WORKSHOP ON SIGNAL DESIGN AND ITS APPLICATIONS IN COMMUNICATIONS (IWSDA),n/a,n/a,n/a
"2022 10TH IRAN WORKSHOP ON COMMUNICATION AND INFORMATION THEORY, IWCIT",n/a,n/a,n/a
2022 10TH RSI INTERNATIONAL CONFERENCE ON ROBOTICS AND MECHATRONICS (ICROM),n/a,n/a,n/a
2022 10TH WORKSHOP ON SATELLITE NAVIGATION TECHNOLOGY (NAVITEC 2022),n/a,n/a,n/a
2022 11TH ADVANCED SATELLITE MULTIMEDIA SYSTEMS CONFERENCE AND THE 17TH SIGNAL PROCESSING FOR SPACE COMMUNICATIONS WORKSHOP (ASMS/SPSC),n/a,n/a,n/a
"2022 11TH INTERNATIONAL CONFERENCE ON COMMUNICATIONS, CIRCUITS AND SYSTEMS (ICCCAS 2022)",n/a,n/a,n/a
"2022 11TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND INFORMATION SCIENCES (ICCAIS)",n/a,n/a,n/a
2022 11TH INTERNATIONAL CONFERENCE ON EDUCATIONAL AND INFORMATION TECHNOLOGY (ICEIT 2022),n/a,n/a,n/a
"2022 11TH INTERNATIONAL CONFERENCE ON INFORMATION COMMUNICATION AND APPLICATIONS, ICICA",n/a,n/a,n/a
2022 11TH INTERNATIONAL CONFERENCE ON MODERN CIRCUITS AND SYSTEMS TECHNOLOGIES (MOCAST),n/a,n/a,n/a
"2022 11TH INTERNATIONAL CONFERENCE ON SOFTWARE PROCESS IMPROVEMENT, CIMPS",n/a,n/a,n/a
2022 11TH MEDITERRANEAN CONFERENCE ON EMBEDDED COMPUTING (MECO),n/a,n/a,n/a
2022 12TH CONFERENCE OF THE EUROPEAN STUDY GROUP ON CARDIOVASCULAR OSCILLATIONS (ESGCO),n/a,n/a,n/a
"2022 12TH INTERNATIONAL CONFERENCE ON DEPENDABLE SYSTEMS, SERVICES AND TECHNOLOGIES (DESSERT)",n/a,n/a,n/a
2022 12TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION SYSTEMS (ICPRS),n/a,n/a,n/a
"2022 12TH INTERNATIONAL CONFERENCE ON POWER AND ENERGY SYSTEMS, ICPES",n/a,n/a,n/a
"2022 12TH INTERNATIONAL CONFERENCE ON SOFTWARE TECHNOLOGY AND ENGINEERING, ICSTE",n/a,n/a,n/a
2022 12TH INTERNATIONAL CONFERENCE ON SYSTEM ENGINEERING AND TECHNOLOGY (ICSET 2022),n/a,n/a,n/a
2022 12TH INTERNATIONAL ELECTRIC DRIVES PRODUCTION CONFERENCE (EDPC),n/a,n/a,n/a
2022 12TH WORKSHOP ON HYPERSPECTRAL IMAGING AND SIGNAL PROCESSING: EVOLUTION IN REMOTE SENSING (WHISPERS),n/a,n/a,n/a
2022 13TH ACM/IEEE INTERNATIONAL CONFERENCE ON CYBER-PHYSICAL SYSTEMS (ICCPS 2022),n/a,n/a,n/a
"2022 13TH IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFOCOMMUNICATIONS, COGINFOCOM",n/a,n/a,n/a
2022 13TH INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION SYSTEMS (ICICS),n/a,n/a,n/a
2022 13TH INTERNATIONAL SYMPOSIUM ON CHINESE SPOKEN LANGUAGE PROCESSING (ISCSLP),n/a,n/a,n/a
"2022 13TH POWER ELECTRONICS, DRIVE SYSTEMS, AND TECHNOLOGIES CONFERENCE (PEDSTC)",n/a,n/a,n/a
2022 14TH BIOMEDICAL ENGINEERING INTERNATIONAL CONFERENCE (BMEICON 2022),n/a,n/a,n/a
2022 14TH GLOBAL SYMPOSIUM ON MILLIMETER-WAVES & TERAHERTZ (GSMM 2022),n/a,n/a,n/a
2022 14TH IEEE INTERNATIONAL MEMORY WORKSHOP (IMW 2022),n/a,n/a,n/a
2022 14TH INTERNATIONAL COLLOQUIUM OF LOGISTICS AND SUPPLY CHAIN MANAGEMENT (LOGISTIQUA2022),n/a,n/a,n/a
2022 14TH INTERNATIONAL CONFERENCE ON COMMUNICATION SOFTWARE AND NETWORKS (ICCSN 2022),n/a,n/a,n/a
2022 14TH INTERNATIONAL CONFERENCE ON COMPUTER AND AUTOMATION ENGINEERING (ICCAE 2022),n/a,n/a,n/a
2022 14TH INTERNATIONAL CONFERENCE ON CYBER CONFLICT: KEEP MOVING (CYCON),n/a,n/a,n/a
"2022 14TH INTERNATIONAL CONFERENCE ON MATHEMATICS, ACTUARIAL SCIENCE, COMPUTER SCIENCE AND STATISTICS (MACS)",n/a,n/a,n/a
"2022 14TH INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS AND SIGNAL PROCESSING, WCSP",n/a,n/a,n/a
2022 15TH IEEE/ACM INTERNATIONAL WORKSHOP ON NETWORK ON CHIP ARCHITECTURES (NOCARC 2022),n/a,n/a,n/a
2022 15TH INTERNATIONAL CONFERENCE ON HUMAN SYSTEM INTERACTION (HSI),n/a,n/a,n/a
2022 15TH UK-EUROPE-CHINA WORKSHOP ON MILLIMETRE-WAVES AND TERAHERTZ TECHNOLOGIES (UCMMT),n/a,n/a,n/a
2022 16TH EUROPEAN CONFERENCE ON ANTENNAS AND PROPAGATION (EUCAP),n/a,n/a,n/a
2022 16TH IEEE INTERNATIONAL CONFERENCE ON SERVICE-ORIENTED SYSTEM ENGINEERING (SOSE 2022),n/a,n/a,n/a
"2022 16TH IEEE INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING (ICSP2022), VOL 1",n/a,n/a,n/a
"2022 16TH INTERNATIONAL CONFERENCE ON SIGNAL-IMAGE TECHNOLOGY & INTERNET-BASED SYSTEMS, SITIS",n/a,n/a,n/a
2022 16TH INTERNATIONAL WORKSHOP ON VARIABLE STRUCTURE SYSTEMS (VSS),n/a,n/a,n/a
"2022 16TH SYMPOSIUM ON PIEZOELECTRICITY, ACOUSTIC WAVES, AND DEVICE APPLICATIONS, SPAWDA",n/a,n/a,n/a
"2022 17TH ASIA JOINT CONFERENCE ON INFORMATION SECURITY, ASIAJCIS",n/a,n/a,n/a
2022 17TH CANADIAN WORKSHOP ON INFORMATION THEORY (CWIT),n/a,n/a,n/a
2022 17TH EUROPEAN MICROWAVE INTEGRATED CIRCUITS CONFERENCE (EUMIC 2022),n/a,n/a,n/a
2022 17TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES (CISTI),n/a,n/a,n/a
"2022 17TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION (ICARCV)",n/a,n/a,n/a
2022 17TH INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES (ICET'22),n/a,n/a,n/a
2022 17TH INTERNATIONAL CONFERENCE ON PROBABILISTIC METHODS APPLIED TO POWER SYSTEMS (PMAPS),n/a,n/a,n/a
2022 17TH INTERNATIONAL JOINT SYMPOSIUM ON ARTIFICIAL INTELLIGENCE AND NATURAL LANGUAGE PROCESSING (ISAI-NLP 2022) / 3RD INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND INTERNET OF THINGS (AIOT 2022),n/a,n/a,n/a
"2022 17TH INTERNATIONAL MICROSYSTEMS, PACKAGING, ASSEMBLY AND CIRCUITS TECHNOLOGY CONFERENCE (IMPACT)",n/a,n/a,n/a
2022 17TH INTERNATIONAL SYMPOSIUM ON SOFTWARE ENGINEERING FOR ADAPTIVE AND SELF-MANAGING SYSTEMS (SEAMS),n/a,n/a,n/a
2022 17TH INTERNATIONAL WORKSHOP ON SEMANTIC AND SOCIAL MEDIA ADAPTATION & PERSONALIZATION (SMAP 2022),n/a,n/a,n/a
2022 18TH EUROPEAN DEPENDABLE COMPUTING CONFERENCE (EDCC 2022),n/a,n/a,n/a
2022 18TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE (AVSS 2022),n/a,n/a,n/a
2022 18TH IEEE/ASME INTERNATIONAL CONFERENCE ON MECHATRONIC AND EMBEDDED SYSTEMS AND APPLICATIONS (MESA 2022),n/a,n/a,n/a
2022 18TH INTERNATIONAL CONFERENCE ON INTELLIGENT ENVIRONMENTS (IE),n/a,n/a,n/a
"2022 18TH INTERNATIONAL CONFERENCE ON MOBILITY, SENSING AND NETWORKING, MSN",n/a,n/a,n/a
2022 18TH INTERNATIONAL CONFERENCE ON NETWORK AND SERVICE MANAGEMENT (CNSM 2022): INTELLIGENT MANAGEMENT OF DISRUPTIVE NETWORK TECHNOLOGIES AND SERVICES,n/a,n/a,n/a
2022 18TH INTERNATIONAL CONFERENCE ON THE DESIGN OF RELIABLE COMMUNICATION NETWORKS (DRCN),n/a,n/a,n/a
"2022 18TH INTERNATIONAL CONFERENCE ON WIRELESS AND MOBILE COMPUTING, NETWORKING AND COMMUNICATIONS (WIMOB)",n/a,n/a,n/a
"2022 19TH ANNUAL IEEE INTERNATIONAL CONFERENCE ON SENSING, COMMUNICATION, AND NETWORKING (SECON)",n/a,n/a,n/a
"2022 19TH ANNUAL INTERNATIONAL CONFERENCE ON PRIVACY, SECURITY & TRUST (PST)",n/a,n/a,n/a
"2022 19TH CHINA INTERNATIONAL FORUM ON SOLID STATE LIGHTING & 2022 8TH INTERNATIONAL FORUM ON WIDE BANDGAP SEMICONDUCTORS, SSLCHINA: IFWS",n/a,n/a,n/a
2022 19TH CONFERENCE ON ROBOTS AND VISION (CRV 2022),n/a,n/a,n/a
2022 19TH EUROPEAN RADAR CONFERENCE (EURAD),n/a,n/a,n/a
2022 19TH INTERNATIONAL COMPUTER CONFERENCE ON WAVELET ACTIVE MEDIA TECHNOLOGY AND INFORMATION PROCESSING (ICCWAMTIP),n/a,n/a,n/a
2022 19TH INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS (UR),n/a,n/a,n/a
2022 19TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER SCIENCE AND SOFTWARE ENGINEERING (JCSSE 2022),n/a,n/a,n/a
2022 19TH INTERNATIONAL SOC DESIGN CONFERENCE (ISOCC),n/a,n/a,n/a
2022 1ST INTERNATIONAL CONFERENCE ON 6G NETWORKING (6GNET),n/a,n/a,n/a
2022 20TH ACM-IEEE INTERNATIONAL CONFERENCE ON FORMAL METHODS AND MODELS FOR SYSTEM DESIGN (MEMOCODE),n/a,n/a,n/a
2022 20TH IEEE INTERREGIONAL NEWCAS CONFERENCE (NEWCAS),n/a,n/a,n/a
2022 20TH INTERNATIONAL CONFERENCE ON HARMONICS & QUALITY OF POWER (ICHQP 2022),n/a,n/a,n/a
2022 20TH INTERNATIONAL CONFERENCE ON ICT AND KNOWLEDGE ENGINEERING (ICT&KE),n/a,n/a,n/a
2022 20TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY BASED HIGHER EDUCATION AND TRAINING (ITHET),n/a,n/a,n/a
2022 20TH INTERNATIONAL CONFERENCE ON MECHATRONICS - MECHATRONIKA (ME),n/a,n/a,n/a
"2022 20TH INTERNATIONAL SYMPOSIUM ON MODELING AND OPTIMIZATION IN MOBILE, AD HOC, AND WIRELESS NETWORKS (WIOPT 2022)",n/a,n/a,n/a
2022 20TH MEDITERRANEAN COMMUNICATION AND COMPUTER NETWORKING CONFERENCE (MEDCOMNET),n/a,n/a,n/a
2022 21ST ACM/IEEE INTERNATIONAL CONFERENCE ON INFORMATION PROCESSING IN SENSOR NETWORKS (IPSN 2022),n/a,n/a,n/a
2022 21ST BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES),n/a,n/a,n/a
"2022 21ST IEEE INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS, ICMLA",n/a,n/a,n/a
2022 21ST INTERNATIONAL CONFERENCE ON FIELD-PROGRAMMABLE TECHNOLOGY (ICFPT 2022),n/a,n/a,n/a
2022 21ST INTERNATIONAL SYMPOSIUM INFOTEH-JAHORINA (INFOTEH),n/a,n/a,n/a
2022 21ST INTERNATIONAL SYMPOSIUM ON PARALLEL AND DISTRIBUTED COMPUTING (ISPDC 2022),n/a,n/a,n/a
"2022 22ND IEEE/ACM INTERNATIONAL SYMPOSIUM ON CLUSTER, CLOUD AND INTERNET COMPUTING (CCGRID 2022)",n/a,n/a,n/a
2022 22ND INTERNATIONAL CONFERENCE ON ADVANCES IN ICT FOR EMERGING REGIONS (ICTER),n/a,n/a,n/a
"2022 22ND INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS (ICCAS 2022)",n/a,n/a,n/a
2022 22ND INTERNATIONAL SCIENTIFIC CONFERENCE ON ELECTRIC POWER ENGINEERING (EPE),n/a,n/a,n/a
"2022 22ND NATIONAL POWER SYSTEMS CONFERENCE, NPSC",n/a,n/a,n/a
2022 23RD ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM (APNOMS 2022),n/a,n/a,n/a
2022 23RD IEEE INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT (MDM 2022),n/a,n/a,n/a
2022 23RD IEEE LATIN-AMERICAN TEST SYMPOSIUM (LATS 2022),n/a,n/a,n/a
2022 23RD INTERNATIONAL CARPATHIAN CONTROL CONFERENCE (ICCC),n/a,n/a,n/a
2022 23RD INTERNATIONAL CONFERENCE ON COMPUTATIONAL PROBLEMS OF ELECTRICAL ENGINEERING (CPEE),n/a,n/a,n/a
"2022 23RD INTERNATIONAL CONFERENCE ON THERMAL, MECHANICAL AND MULTI-PHYSICS SIMULATION AND EXPERIMENTS IN MICROELECTRONICS AND MICROSYSTEMS (EUROSIME)",n/a,n/a,n/a
2022 23RD INTERNATIONAL RADAR SYMPOSIUM (IRS),n/a,n/a,n/a
2022 24TH EUROPEAN CONFERENCE ON POWER ELECTRONICS AND APPLICATIONS (EPE'22 ECCE EUROPE),n/a,n/a,n/a
2022 24TH INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY (ICACT): ARITIFLCIAL INTELLIGENCE TECHNOLOGIES TOWARD CYBERSECURITY,n/a,n/a,n/a
2022 24TH INTERNATIONAL MICROWAVE AND RADAR CONFERENCE (MIKON),n/a,n/a,n/a
"2022 24TH INTERNATIONAL SYMPOSIUM ON SYMBOLIC AND NUMERIC ALGORITHMS FOR SCIENTIFIC COMPUTING, SYNASC",n/a,n/a,n/a
2022 25TH CONFERENCE OF THE ORIENTAL COCOSDA INTERNATIONAL COMMITTEE FOR THE CO-ORDINATION AND STANDARDISATION OF SPEECH DATABASES AND ASSESSMENT TECHNIQUES (O-COCOSDA 2022),n/a,n/a,n/a
2022 25TH EUROMICRO CONFERENCE ON DIGITAL SYSTEM DESIGN (DSD),n/a,n/a,n/a
2022 25TH INTERNATIONAL CONFERENCE ON ELECTRICAL MACHINES AND SYSTEMS (ICEMS 2022),n/a,n/a,n/a
2022 25TH INTERNATIONAL CONFERENCE ON INFORMATION FUSION (FUSION 2022),n/a,n/a,n/a
2022 25TH INTERNATIONAL SYMPOSIUM ON DESIGN AND DIAGNOSTICS OF ELECTRONIC CIRCUITS AND SYSTEMS (DDECS),n/a,n/a,n/a
2022 25TH INTERNATIONAL SYMPOSIUM ON WIRELESS PERSONAL MULTIMEDIA COMMUNICATIONS (WPMC),n/a,n/a,n/a
2022 26TH INTERNATIONAL CONFERENCE INFORMATION VISUALISATION (IV),n/a,n/a,n/a
2022 26TH INTERNATIONAL CONFERENCE ON ENGINEERING OF COMPLEX COMPUTER SYSTEMS (ICECCS 2022),n/a,n/a,n/a
2022 26TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR),n/a,n/a,n/a
"2022 26TH INTERNATIONAL CONFERENCE ON SYSTEM THEORY, CONTROL AND COMPUTING (ICSTCC)",n/a,n/a,n/a
2022 27TH ASIA PACIFIC CONFERENCE ON COMMUNICATIONS (APCC 2022): CREATING INNOVATIVE COMMUNICATION TECHNOLOGIES FOR POST-PANDEMIC ERA,n/a,n/a,n/a
2022 27TH IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATIONS (IEEE ISCC 2022),n/a,n/a,n/a
2022 28TH IEEE INTERNATIONAL SYMPOSIUM ON LOCAL AND METROPOLITAN AREA NETWORKS (IEEE LANMAN),n/a,n/a,n/a
2022 28TH INTERNATIONAL WORKSHOP ON THERMAL INVESTIGATIONS OF ICS AND SYSTEMS (THERMINIC 2022),n/a,n/a,n/a
"2022 29TH ASIA-PACIFIC SOFTWARE ENGINEERING CONFERENCE, APSEC",n/a,n/a,n/a
"2022 29TH IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS, CIRCUITS AND SYSTEMS (IEEE ICECS 2022)",n/a,n/a,n/a
2022 29TH INTERNATIONAL CONFERENCE ON MIXED DESIGN OF INTEGRATED CIRCUITS AND SYSTEM (MIXDES 2022),n/a,n/a,n/a
"2022 29TH INTERNATIONAL CONFERENCE ON SYSTEMS, SIGNALS AND IMAGE PROCESSING (IWSSIP)",n/a,n/a,n/a
"2022 29TH NATIONAL AND 7TH INTERNATIONAL IRANIAN CONFERENCE ON BIOMEDICAL ENGINEERING, ICBME",n/a,n/a,n/a
2022 2ND IEEE INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING AND ARTIFICIAL INTELLIGENCE (SEAI 2022),n/a,n/a,n/a
2022 2ND IEEE INTERNATIONAL SYMPOSIUM ON JOINT COMMUNICATIONS & SENSING (JC&S),n/a,n/a,n/a
2022 2ND INTERNATIONAL CONFERENCE OF SMART SYSTEMS AND EMERGING TECHNOLOGIES (SMARTTECH 2022),n/a,n/a,n/a
2022 2ND INTERNATIONAL CONFERENCE ON IMAGE PROCESSING AND ROBOTICS (ICIPROB),n/a,n/a,n/a
"2022 2ND INTERNATIONAL CONFERENCE ON INNOVATIVE RESEARCH IN APPLIED SCIENCE, ENGINEERING AND TECHNOLOGY (IRASET'2022)",n/a,n/a,n/a
2022 2ND INTERNATIONAL CONFERENCE ON INTELLIGENT CYBERNETICS TECHNOLOGY & APPLICATIONS (ICICYTA),n/a,n/a,n/a
"2022 2ND INTERNATIONAL CONFERENCE ON POWER ELECTRONICS AND ADVANCED CONTROL, PEAC 2022",n/a,n/a,n/a
2022 30TH AUSTRIAN WORKSHOP ON MICROELECTRONICS (AUSTROCHIP 2022),n/a,n/a,n/a
2022 30TH EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO 2022),n/a,n/a,n/a
2022 30TH IEEE INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE (RE 2022),n/a,n/a,n/a
